id,province,adl_katz_score,net_family_income_cad,has_dtc,is_veteran,sensitivity_case,private_pay_annual_cad,out_of_pocket_before_credits_annual_cad,metc_qualifying_amount_cad,metc_federal_value_cad,metc_provincial_value_cad,metc_credit_value_cad,dtc_credit_value_cad,ccc_credit_value_cad,vac_vip_credit_value_cad,total_credits_value_cad,out_of_pocket_after_credits_annual_cad,effective_credit_fraction_of_oop
1,AB,1,25000,False,False,baseline,98763.59,26908.15,26158.15,3923.72,2615.82,6539.54,0.0,903.02,0.0,7442.56,19465.59,0.2766
2,AB,1,25000,False,True,vip_only,98763.59,26908.15,26158.15,3923.72,2615.82,6539.54,0.0,903.02,12396.0,19838.56,7069.59,0.7373
3,AB,1,25000,True,False,dtc_only,98763.59,26908.15,26158.15,3923.72,2615.82,6539.54,3087.4,903.02,0.0,10529.96,16378.19,0.3913
4,AB,1,25000,True,True,dtc_and_vip,98763.59,26908.15,26158.15,3923.72,2615.82,6539.54,3087.4,903.02,12396.0,22925.96,3982.19,0.852
5,AB,1,50000,False,False,baseline,98763.59,26908.15,25408.15,3811.22,2540.82,6352.04,0.0,0.0,0.0,6352.04,20556.11,0.2361
6,AB,1,50000,False,True,vip_only,98763.59,26908.15,25408.15,3811.22,2540.82,6352.04,0.0,0.0,12396.0,18748.04,8160.11,0.6967
7,AB,1,50000,True,False,dtc_only,98763.59,26908.15,25408.15,3811.22,2540.82,6352.04,3087.4,0.0,0.0,9439.44,17468.71,0.3508
8,AB,1,50000,True,True,dtc_and_vip,98763.59,26908.15,25408.15,3811.22,2540.82,6352.04,3087.4,0.0,12396.0,21835.44,5072.71,0.8115
9,AB,1,75000,False,False,baseline,98763.59,26908.15,24658.15,3698.72,2465.82,6164.54,0.0,0.0,0.0,6164.54,20743.61,0.2291
10,AB,1,75000,False,True,vip_only,98763.59,26908.15,24658.15,3698.72,2465.82,6164.54,0.0,0.0,12396.0,18560.54,8347.61,0.6898
11,AB,1,75000,True,False,dtc_only,98763.59,26908.15,24658.15,3698.72,2465.82,6164.54,3087.4,0.0,0.0,9251.94,17656.21,0.3438
12,AB,1,75000,True,True,dtc_and_vip,98763.59,26908.15,24658.15,3698.72,2465.82,6164.54,3087.4,0.0,12396.0,21647.94,5260.21,0.8045
13,AB,1,100000,False,False,baseline,98763.59,26908.15,24149.15,3622.37,2408.42,6030.79,0.0,0.0,0.0,6030.79,20877.36,0.2241
14,AB,1,100000,False,True,vip_only,98763.59,26908.15,24149.15,3622.37,2408.42,6030.79,0.0,0.0,12396.0,18426.79,8481.36,0.6848
15,AB,1,100000,True,False,dtc_only,98763.59,26908.15,24149.15,3622.37,2408.42,6030.79,3087.4,0.0,0.0,9118.19,17789.96,0.3389
16,AB,1,100000,True,True,dtc_and_vip,98763.59,26908.15,24149.15,3622.37,2408.42,6030.79,3087.4,0.0,12396.0,21514.19,5393.96,0.7995
17,AB,1,150000,False,False,baseline,98763.59,26908.15,24149.15,3622.37,2408.42,6030.79,0.0,0.0,0.0,6030.79,20877.36,0.2241
18,AB,1,150000,False,True,vip_only,98763.59,26908.15,24149.15,3622.37,2408.42,6030.79,0.0,0.0,12396.0,18426.79,8481.36,0.6848
19,AB,1,150000,True,False,dtc_only,98763.59,26908.15,24149.15,3622.37,2408.42,6030.79,3087.4,0.0,0.0,9118.19,17789.96,0.3389
20,AB,1,150000,True,True,dtc_and_vip,98763.59,26908.15,24149.15,3622.37,2408.42,6030.79,3087.4,0.0,12396.0,21514.19,5393.96,0.7995
21,AB,2,25000,False,False,baseline,82175.25,23732.82,22982.82,3447.42,2298.28,5745.71,0.0,903.02,0.0,6648.73,17084.09,0.2801
22,AB,2,25000,False,True,vip_only,82175.25,23732.82,22982.82,3447.42,2298.28,5745.71,0.0,903.02,12396.0,19044.73,4688.09,0.8025
23,AB,2,25000,True,False,dtc_only,82175.25,23732.82,22982.82,3447.42,2298.28,5745.71,3087.4,903.02,0.0,9736.13,13996.69,0.4102
24,AB,2,25000,True,True,dtc_and_vip,82175.25,23732.82,22982.82,3447.42,2298.28,5745.71,3087.4,903.02,12396.0,22132.13,1600.69,0.9326
25,AB,2,50000,False,False,baseline,82175.25,23732.82,22232.82,3334.92,2223.28,5558.21,0.0,0.0,0.0,5558.21,18174.61,0.2342
26,AB,2,50000,False,True,vip_only,82175.25,23732.82,22232.82,3334.92,2223.28,5558.21,0.0,0.0,12396.0,17954.21,5778.61,0.7565
27,AB,2,50000,True,False,dtc_only,82175.25,23732.82,22232.82,3334.92,2223.28,5558.21,3087.4,0.0,0.0,8645.61,15087.21,0.3643
28,AB,2,50000,True,True,dtc_and_vip,82175.25,23732.82,22232.82,3334.92,2223.28,5558.21,3087.4,0.0,12396.0,21041.61,2691.21,0.8866
29,AB,2,75000,False,False,baseline,82175.25,23732.82,21482.82,3222.42,2148.28,5370.71,0.0,0.0,0.0,5370.71,18362.11,0.2263
30,AB,2,75000,False,True,vip_only,82175.25,23732.82,21482.82,3222.42,2148.28,5370.71,0.0,0.0,12396.0,17766.71,5966.11,0.7486
31,AB,2,75000,True,False,dtc_only,82175.25,23732.82,21482.82,3222.42,2148.28,5370.71,3087.4,0.0,0.0,8458.11,15274.71,0.3564
32,AB,2,75000,True,True,dtc_and_vip,82175.25,23732.82,21482.82,3222.42,2148.28,5370.71,3087.4,0.0,12396.0,20854.11,2878.71,0.8787
